sample,SRR
1280_SRR21835901,SRR21835901
1280_SRR21835900,SRR21835900
1280_SRR21835899,SRR21835899
1280_SRR21835898,SRR21835898
1280_SRR21835897,SRR21835897
1280_SRR21835896,SRR21835896
